Iteration,AUC,Log_Loss,Predicted_Probabilities
0,0.9282009158675073,0.24909417986255192,[0.00131524 0.00156416 0.04510304 ... 0.42429972 0.01576575 0.20948079]
1,0.9315358235620265,0.24336494144198179,[0.00110139 0.0010699  0.06130601 ... 0.35807323 0.02024768 0.17578281]
