n_estimators,min_child_weight,max_depth,learning_rate,gamma,log_loss,neg_brier_score
50,7,4,0.08999999999999998,3.0,0.36844315174537645,-0.11544127294028084
150,7,8,0.15999999999999998,2.0,0.37824971598109214,-0.11742391433206081
150,4,14,0.18,0.0,0.4933811522089034,-0.12910987968935556
200,8,11,0.24999999999999997,2.0,0.380707226078191,-0.11903327964433892
250,1,4,0.15,4.0,0.36944525611767465,-0.11624077362246998
100,5,13,0.11999999999999998,4.0,0.37647672706655716,-0.11707081012694051
150,9,10,0.019999999999999997,4.0,0.37152698588080113,-0.11558010011099987
50,7,10,0.08999999999999998,2.0,0.3760425084520385,-0.11677707813129257
200,5,9,0.20999999999999996,5.0,0.3726797539631253,-0.11801855345911143
100,6,7,0.01,2.0,0.3959026462827948,-0.12296472023782441
250,3,7,0.21999999999999997,0.0,0.504724717542387,-0.13691218631292632
200,6,6,0.25999999999999995,5.0,0.3691539274797861,-0.11782692344420287
150,7,12,0.15,2.0,0.3800684140635214,-0.11735775181835321
150,8,5,0.19999999999999998,5.0,0.3699061438345067,-0.11648106808797916
100,6,13,0.019999999999999997,0.0,0.37856715600494456,-0.11804713343786073
250,3,6,0.16999999999999998,5.0,0.37254639108981896,-0.11715606662911389
100,4,14,0.12999999999999998,3.0,0.3698750267552385,-0.11825657190584549
150,8,6,0.16999999999999998,5.0,0.36976932938934726,-0.11609832794703326
150,6,3,0.13999999999999999,1.0,0.36762729822402185,-0.11478055259116267
50,1,3,0.15999999999999998,1.0,0.36420909061110013,-0.11520865657127374
50,9,4,0.18,4.0,0.36752148637320703,-0.11539613763819226
200,9,6,0.039999999999999994,5.0,0.37086858152357993,-0.11591434151841233
200,9,4,0.18,0.0,0.39240494093807354,-0.12155895609531568
150,1,12,0.10999999999999997,5.0,0.3728474022262589,-0.11722452568972094
50,8,9,0.22999999999999998,0.0,0.4000663199446606,-0.12144982848831884
250,6,14,0.27999999999999997,3.0,0.3874870236923231,-0.11885653269535616
250,4,11,0.10999999999999997,5.0,0.370314566375624,-0.11674731003501837
250,8,7,0.12999999999999998,2.0,0.3749288431036015,-0.11586703288737583
100,5,13,0.15999999999999998,0.0,0.43648270397065686,-0.12533578294138906
250,4,8,0.10999999999999997,2.0,0.37822902853959595,-0.118074431497776
250,1,13,0.049999999999999996,3.0,0.3737572744745967,-0.1175857606944283
200,6,7,0.23999999999999996,3.0,0.3828600698660791,-0.11700779299613033
250,5,11,0.01,3.0,0.3761811035761305,-0.11739195289877917
250,1,9,0.15999999999999998,2.0,0.37774291595781906,-0.11957926106973601
200,1,12,0.049999999999999996,0.0,0.44049764495262267,-0.12546129154828076
