caseid,tname,tid,nan_count_per_column,zero_count,size,samplingperiode
8,SNUADC/PLETH,f67a7d91640d4e5d16bbe7c4ac41aff1dfcd8a7f,470,0,2958667,
9,BIS/EEG1_WAV,4d489d170eec9b7d26dbcd5e6881aed1c5e532ff,180,171,573508,22.5
9,BIS/EEG2_WAV,780ca2c4f778a4fe8a07d02b20054839d5f0043e,180,222,573508,22.35
9,Primus/AWP,4b859b8cd8207b1f75794fcbe518026c118f8da4,2023,3891,280033,
9,Primus/CO2,23939684feedb56709a8de0866121a757df103d2,643,54879,280033,
9,SNUADC/ECG_II,b894ece77a91508b9ff794d19301c27aa24e4af0,466,0,2240264,
9,SNUADC/ECG_V5,8c8d6fcdb364cb732aa7599e9eaf9d4c657895cd,466,0,2240264,
9,SNUADC/PLETH,a5ea05559b2fbce91b85c4824d59ce7e6d33688b,466,0,2240264,
10,BIS/EEG1_WAV,da5625cfa196ee32d2913b9b38f4ec966d171622,692,1744,2686996,
10,BIS/EEG2_WAV,4eabf67934abcf1132e60d97543c260a0fda0dd8,692,3326,2686996,
10,Primus/AWP,33fb656d7d5aac6f97ae78d37a2f55fab9956798,4442,4926,1312010,0.1
10,Primus/CO2,d8d40bb4cbfba9d600784d17e39537665e2ab9f8,470,28083,1312010,0.0
10,SNUADC/ART,58d78f57ffad2ce71fea9cb8e9df2e8fdeeb7556,2026,0,10496076,
10,SNUADC/ECG_II,c31fe646f6619757dec89dd37bdcf19731226366,2026,0,10496076,
10,SNUADC/PLETH,332e6ac3f127d341b89950fcb886b6d045fcd1ee,2026,0,10496076,
11,Primus/AWP,da758545ce700c3f9dea94d8e3cc32031705d83b,1691,40209,329021,-0.1
11,Primus/CO2,a36ec8c6690529758777285af27d5bd032c1ee75,341,48182,329021,0.5
11,SNUADC/ECG_II,172b1b7be2c10ab16dd4ec1eed0d294fd3bd23a0,2567,0,2632164,
11,SNUADC/PLETH,e3f2bb4cc770396b6bbee68e9c88aee9e6add980,2567,0,2632164,
12,BIS/EEG1_WAV,8af2239b4e26ffd233ee830c5c5e76affa03c63e,2463,1252,3993967,27.6
12,BIS/EEG2_WAV,f883b46f4f5f672e56b3bd4d894b7bdc25bd8b56,2463,623,3993967,15.4
12,Primus/AWP,ae34ca529981295c92bf83a93b59cc95c80ecca6,6967,0,1950180,
12,Primus/CO2,019acb3a3d200f1e558cf5ffa4a6a8616693e561,1470,4298,1950180,
13,BIS/EEG1_WAV,7fcc43b9f9b96b0681594a29e1fef629ef8472a7,3853,1040,1383725,
13,BIS/EEG2_WAV,ba2f55b47dc3b59876efe9d29d6c4b2ebe8f8854,3853,927,1383725,
13,Primus/AWP,c0cd6e22680f0a8f7c49bd3c2edd3b64fb0b38e0,3208,67656,675647,
13,Primus/CO2,e2e116c8c8fd831609640c2706218ed7849625dc,1937,76299,675647,
13,SNUADC/ART,cbbbf57885b121f491bb2bdfc781b8f3c3891e1f,17315,0,5405175,-11.7721
13,SNUADC/ECG_II,735aad48378b339bea25708f68b3bb5ff3e3ef8d,17315,0,5405175,0.030398
13,SNUADC/PLETH,adbc415bca2704ac6fce305a11002c18f1c3074a,17315,0,5405175,38.3443
14,BIS/EEG1_WAV,898fa8995d296c7f0968ce95361d25bd601db0a5,548,303,526724,
14,BIS/EEG2_WAV,25b74ef0d565749106125e77a7dbfb4799856ace,548,408,526724,
14,Primus/AWP,0a2d3f6129f075fc1da08bd856510cb7aac026e1,1506,1387,257190,0.2
14,Primus/CO2,9ecd35fa801fa68612607c7b3d3b685e990f4d76,270,34696,257190,0.0
14,SNUADC/ART,d512fe38ec09218f47338ff918776bdfc800d26a,1918,0,2057516,
14,SNUADC/CVP,246397133d1c6c37ca99bd09bce208fddfba26d6,1918,0,2057516,
14,SNUADC/ECG_II,e8d374f67129493234ba46faa12675d217fafbd5,1918,0,2057516,
14,SNUADC/ECG_V5,78f680c344dc07165b5ae06dd6d53e4bb0f655a3,1918,0,2057516,
14,SNUADC/PLETH,7991449301d7ce27bdaf412f09e9c955dc355ea3,1918,0,2057516,
15,SNUADC/ECG_II,a73cf00f950742da72ad9f7d05771cd0707a0e4b,8015,0,1754614,
15,SNUADC/ECG_V5,f88def560b489af008c43e267e8369a9e070f98a,8015,0,1754614,
15,SNUADC/PLETH,2af26d7f921c8f6b1204de3a239394b210e3052e,8015,0,1754614,
16,BIS/EEG1_WAV,36ee4718dfca7ce72710788dd0942c3e21108e03,382,657,1646894,
16,BIS/EEG2_WAV,df5432b0e2627c4cdc87f187e264c6d1678e9d7c,382,599,1646894,
16,Primus/AWP,cb3ec59a7777932470adcb1e1a798c754d8ffab3,1650,2864,804148,0.8
16,Primus/CO2,aeeff875f8005c4f62b326cd2264806b9faa0587,298,52039,804148,0.0
16,SNUADC/ART,87ee6b6a42ffe4c5af822f34b70b33e25a3cd1c3,1123,0,6433177,
16,SNUADC/ECG_II,25849df7b7e6867f7036276c181dc89588fa110b,1123,0,6433177,
16,SNUADC/ECG_V5,09cc94e8f8a56a7dd7c473f1d80965b5d18572ba,1123,0,6433177,
16,SNUADC/PLETH,fb440dcde0a84b1d7d4a701a8cf3aaa26e0d9137,1123,0,6433177,
17,BIS/EEG1_WAV,cbd672ab221c60ea9ef4a0e9cdee646778e5ca57,222,2191,2607246,962.55
17,BIS/EEG2_WAV,62cb0a16a944b48171b479085964e379619466f8,222,5748,2607246,15.8
17,Primus/AWP,806c99ed17bfaeaabffb6abc6eabb9f48f568369,4383,5867,1273070,
17,Primus/CO2,24c5c5d1fe5971d12a59d47095681c34323729c0,320,12079,1273070,
17,SNUADC/ART,81b90a9b3b44d2cd6f9bb19373d1fc5f16b3bc5c,404,0,10184554,
17,SNUADC/CVP,100e1fc7b01fe05b0a66ba0de197b0ff3ab95ec3,404,0,10184554,
17,SNUADC/ECG_II,0eef4128d27d9a23c25b7658dfbece0dfeb4c596,404,0,10184554,
17,SNUADC/ECG_V5,2c118352172aa384568eb3bc914f0125d854e652,404,0,10184554,
17,SNUADC/PLETH,78649246c8df0a350777ba4ffabe3d138b6768a7,404,0,10184554,
18,BIS/EEG1_WAV,6d956124a06f82117759d82b2f7b556e34113f6a,2271,0,565151,24.25
18,BIS/EEG2_WAV,4e83e9112438647d321b1f4fb6e16f32dbd3917e,2271,0,565151,25.25
18,Primus/AWP,96131f98d50bc60c0ff0db2930b125d1c5b6e838,2353,0,275953,
18,Primus/CO2,50ff38df1f6bb3b7e6874625b530ea5ecf7bbce7,1123,23186,275953,
18,SNUADC/ECG_II,8b3ec5a4a6eb6b2878e9ba37f3f340179a9d6330,8472,0,2207622,
18,SNUADC/ECG_V5,f60203c5cff98c2d0921a60c9f0f76e9a01ef2e8,8472,0,2207622,
18,SNUADC/PLETH,820b3bf4d0d3dd9c7b6d89e1820a3372d9156522,8472,0,2207622,
19,BIS/EEG1_WAV,c7d0c9ff763867ac9f9160a07f15fdb36e147f00,631,1794,3529623,
19,BIS/EEG2_WAV,dd717876ffdac74f6ce6e104876a3cb272c511e3,631,2093,3529623,
19,CardioQ/ABP,cc766bd911ddec7b0ec0ad9e781a019f8c94d745,355913,295969,4963533,
19,CardioQ/FLOW,2976740746c7e4f660caa8f284ace4ca2cfbbfcf,355913,69632,4963533,
19,Primus/AWP,caa7aeb8958ef1341cb73801e8f1f8eaa93509ba,5941,5223,1723449,0.1
19,Primus/CO2,5f92426bd1fed863d317eaabf4eb4e633bd9e819,429,17252,1723449,0.9
19,SNUADC/ART,6a96e961c056d02667d316d2b992ceb8ec852ed9,2124,0,13787590,
19,SNUADC/CVP,3565bc89d0b23b5a97126c8c84a01e159143f956,2124,0,13787590,
19,SNUADC/ECG_II,88020141d7f5286b8c8dccbfe51713f78a3aac70,2124,0,13787590,
19,SNUADC/ECG_V5,2d372989fd217c5dcc58ef5e9622432ede6a2a15,2124,0,13787590,
19,SNUADC/PLETH,88270dcaa8b667120b992c0cce9b0da40e581803,2124,0,13787590,
20,BIS/EEG1_WAV,539fcc9eff47b2eae5577f4b296bbd46e1f22f2a,302,816,3388830,25.0
20,BIS/EEG2_WAV,969ae3feac7a93a7c1d2ecf21cf4279cc4cc7494,302,1548,3388830,21.05
20,Primus/AWP,407edd17b55f1d56885272faf6eeed05812043d4,5350,18683,1654703,
20,Primus/CO2,9235352a142d5e94ccdd48178057de21054358b9,233,52837,1654703,
20,SNUADC/ART,f11c3ca7ca7bb8f7a8cc2da1de5e84c305493f0e,471,0,13237618,
20,SNUADC/CVP,6431648c405861a8308549eff4fae416cbecc176,471,0,13237618,
20,SNUADC/ECG_II,8d9f50dc05c4454b373c4016e6faf6529234b8bb,471,0,13237618,
20,SNUADC/PLETH,6bc113711241afc4ef1c8c957ac0c79eebbf6f2e,471,0,13237618,
21,BIS/EEG1_WAV,7e47eb04d5b3e4c19af24d783eb0de828bc73aad,52546,817,1624338,
21,BIS/EEG2_WAV,203742b3121b180413aa057cdcb4a67ca600d469,52546,612,1624338,
21,Primus/AWP,389ea7b2b4bcae22f021f6c905fa71bc96fa9658,21564,0,793134,
21,Primus/CO2,0799b94bb93a3f55a123fe532c9a8ee79f071a0c,18834,42698,793134,
21,SNUADC/ECG_II,e21bd49a7aa813ca7f715f0fcf48bad68bb4f9be,124274,0,6345069,0.0106489
21,SNUADC/ECG_V5,0009fb8fa958cefa89e960c92ae6ba688c8f4d4b,124274,0,6345069,-0.0189748
21,SNUADC/PLETH,a8cc961d5cee3c7f5763a8673ddc644aa43986e6,124274,0,6345069,-12.2135
22,Primus/AWP,de51af0d754fc7552552919a8797719cfaca43cc,2953,20655,898317,0.0
22,Primus/CO2,c7a28c03040fafbe26f4f894634e43e7e812bcf6,237,5772,898317,0.0
22,SNUADC/ART,502c7f3f0f5cad855668cd55128307aaf0cb13cd,483,0,7186536,
22,SNUADC/ECG_II,0cc6a65e25941af1a30d8da8782870d6c75a81b6,483,0,7186536,
22,SNUADC/PLETH,c8a6fdb9c3119e97534763bd3ef35f12afca1bb6,483,0,7186536,
23,Primus/AWP,beddefbec8c68a3cc2484a9e236dc9075bb93884,145,0,176785,0.0248
23,Primus/CO2,f1ce2e9356f1bf23bec085c73bc23aa23fd9d510,85,22646,176785,35.625
23,SNUADC/ECG_II,b28ce9d5faccecb8822eb95b912bd8755430f27d,574,0,1414273,
23,SNUADC/PLETH,b562c31b87f08328e1d863da8b0919289b3bda62,574,0,1414273,
24,BIS/EEG1_WAV,34c9a718d325b8ae5982e19aab319bb1c7f1720a,462,414,830846,
24,BIS/EEG2_WAV,36217e4cb9d372a661d181926fe8707b746d8ec0,462,814,830846,
24,Primus/AWP,e1dd3c20e7e039b66ed78b2695ab2fe353529a97,1566,10859,405687,0.6
24,Primus/CO2,81abfe45b65c31e44533a5111c1f14d234993e1c,237,28318,405687,0.0
24,SNUADC/ART,a2ff1fececad6e0f26d2488f24903d85d04bb5ac,1393,0,3245490,
